data,trip_creation_time,route_type,trip_uuid,source_name,destination_name,start_scan_to_end_scan,od_time_diff_hour,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,segment_actual_time_sum,segment_osrm_distance_sum,segment_osrm_time_sum,hour,day,weekday,week,month,source_state,destination_state,source_city,source_place,destination_city,destination_place
1,2018-09-12 00:33:22.667576,0,trip-153671240266732246,bengaluru_kgairprt_hb (karnataka),bengaluru_bomsndra_hb (karnataka),0.18093093093093093,0.18063852634746708,0.0912028209861107,0.22952853598014888,0.13783783783783785,0.09708801747867321,0.2272159800249688,0.1395514701704708,0.19154228855721395,0,12,2,37,9,Karnataka,Karnataka,Bengaluru,Kgairprt,Bengaluru,Bomsndra
1,2018-09-12 00:36:05.266352,0,trip-153671256526597871,bengaluru_kgairprt_hb (karnataka),bangalore_nelmngla_h (karnataka),0.16516516516516516,0.16516489046155447,0.054066089125681185,0.18982630272952855,0.12162162162162163,0.07050997655836684,0.18851435705368288,0.10421318517615136,0.15671641791044777,0,12,2,37,9,Karnataka,Karnataka,Bengaluru,Kgairprt,Bengaluru,Nelmngla
1,2018-09-12 00:37:08.939733,0,trip-153671262893947351,hyderabad_north_d_2 (telangana),hyderabad_alwal_i (telangana),0.18468468468468469,0.18483847280494617,0.04213773561171526,0.23076923076923078,0.05405405405405406,0.047076265852591476,0.23220973782771537,0.04451978746248429,0.04975124378109452,0,12,2,37,9,Telangana,Telangana,Hyderabad,North,Hyderabad,Alwal
1,2018-09-12 00:39:30.747127,1,trip-153671277074687197,dindigul_central_d_1 (tamil nadu),palani_rjndrard_d (tamil nadu),0.29054054054054057,0.29231778396798797,0.3297009805454731,0.3622828784119107,0.8729729729729729,0.4149285703596702,0.3620474406991261,0.395211266960764,0.8034825870646766,0,12,2,37,9,Tamil Nadu,Tamil Nadu,Dindigul,Central,Palani,Rjndrard
1,2018-09-12 00:39:57.915096,1,trip-153671279791474803,jalandhar_dc (punjab),jalandhar_dc (punjab),0.18168168168168167,0.18301525575670086,0.20606560091327605,0.18858560794044665,0.1783783783783784,0.18730265410695127,0.18976279650436953,0.17593179752619517,0.16417910447761194,0,12,2,37,9,Punjab,Punjab,Jalandhar,Dc,Jalandhar,Dc
1,2018-09-12 00:41:16.117700,0,trip-153671287611744830,faridabad_mthurard_l (haryana),gurgaon_bilaspur_hb (haryana),0.11786786786786788,0.11765380439454562,0.10539177738167434,0.15508684863523572,0.15675675675675677,0.1363056584739787,0.15106117353308365,0.16253405056038653,0.1865671641791045,0,12,2,37,9,Haryana,Haryana,Faridabad,Mthurard,Gurgaon,Bilaspur
1,2018-09-12 00:41:33.744568,0,trip-153671289374432394,chandigarh_mullanpr_dc (chandigarh),chandigarh_mehmdpur_h (punjab),0.19369369369369369,0.19332637891214066,0.21084316012300064,0.20347394540942929,0.2594594594594595,0.21110982004607345,0.19850187265917604,0.18671226373765423,0.2562189054726368,0,12,2,37,9,Chandigarh,Punjab,Chandigarh,Mullanpr,Chandigarh,Mehmdpur
1,2018-09-12 00:42:06.812144,0,trip-153671292681185799,mumbai hub (maharashtra),mumbai_sanpada_i (maharashtra),0.03903903903903904,0.03866177470444999,0.012284061834678828,0.04838709677419355,0.032432432432432434,0.026881514560132675,0.04744069912609238,0.02542150478242709,0.02736318407960199,0,12,2,37,9,Maharashtra,Maharashtra,Mumbai,Mumbai Hub,Mumbai,Sanpada
1,2018-09-12 00:44:24.636038,1,trip-153671306463580546,deoli_central_dpp_2 (maharashtra),yavatmal_jajudpp_d (maharashtra),0.05705705705705706,0.057247718728287836,0.10277232863718168,0.09305210918114144,0.08648648648648649,0.09451366313589721,0.09238451935081149,0.089381095099737,0.07711442786069651,0,12,2,37,9,Maharashtra,Maharashtra,Deoli,Central,Yavatmal,Jajudpp
1,2018-09-12 00:44:36.229517,0,trip-153671307622926083,pandharpur_rajcmplx_d (maharashtra),sangola_central_dpp_2 (maharashtra),0.12237237237237236,0.12227172637014996,0.18071632918612576,0.16253101736972705,0.22162162162162163,0.1834695113524229,0.16104868913857678,0.1735064007457252,0.19154228855721395,0,12,2,37,9,Maharashtra,Maharashtra,Pandharpur,Rajcmplx,Sangola,Central
1,2018-09-12 00:45:06.834828,0,trip-153671310683457427,ccu_beliaghata_dpc (west bengal),kolkata_dankuni_hb (west bengal),0.13813813813813813,0.13788037698485198,0.018483457862164734,0.05334987593052109,0.03783783783783784,0.025990459616219177,0.0536828963795256,0.02457904672790998,0.03482587064676616,0,12,2,37,9,West Bengal,West Bengal,Kolkata,Beliaghata,Kolkata,Dankuni
